model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,4,marginal,768,384,training,0.8346621655,0.8547009549,0.8626118784
uniform,1,4,marginal,1024,512,training,0.8829887185,0.880334442,0.8876608405
uniform,1,4,marginal,1536,768,training,0.9248182458,0.916462813,0.9211677747
uniform,1,4,marginal,2048,1024,training,0.977515015,0.9420963002,0.943665909
uniform,1,4,marginal,2560,1280,training,0.9571021303,0.9619791775,0.9603877465
uniform,1,4,marginal,3072,1536,training,1.031917503,0.9782246712,0.9735776532
uniform,1,4,marginal,4096,2048,training,0.9343400447,1.003858158,0.9935249596
uniform,1,4,marginal,5120,2560,heldout,1.150316456,1.023741036,1.008268221
uniform,1,4,marginal,6144,3072,heldout,0.8689102564,1.039986529,1.019841514
uniform,1,4,conditional,128,64,training,0.7027370673,0.7019327315,0.6991748945
uniform,1,4,conditional,256,128,training,0.7662725871,0.7607583347,0.7608486035
uniform,1,4,conditional,512,256,training,0.80969986,0.8195839378,0.8211419683
uniform,1,4,conditional,768,384,training,0.8430982746,0.8539947098,0.8557714371
uniform,1,4,conditional,1024,512,training,0.8742646993,0.878409541,0.8800549889
uniform,1,4,conditional,1536,768,training,0.9003627267,0.912820313,0.913877008
uniform,1,4,conditional,2048,1024,training,0.9954109109,0.9372351442,0.9375876652
uniform,1,4,conditional,2560,1280,training,0.9230545113,0.9561727586,0.9558153365
uniform,1,4,conditional,3072,1536,training,1.020044593,0.9716459161,0.9706022348
uniform,1,4,conditional,4096,2048,training,0.9536689038,0.9960607474,0.9937399974
uniform,1,4,conditional,5120,2560,heldout,1.068037975,1.014998362,1.011523297
uniform,1,4,conditional,6144,3072,heldout,0.7407051282,1.030471519,1.025947117
uniform,1,4,disorder,128,64,training,-0.01390073346,-0.006883863908,-0.01640536633
uniform,1,4,disorder,256,128,training,-0.003108518086,-0.003947608934,-0.00363595341
uniform,1,4,disorder,512,256,training,0.003044608922,-0.001011353959,0.00436778591
uniform,1,4,disorder,768,384,training,-0.008436109027,0.0007062450937,0.006840441322
uniform,1,4,disorder,1024,512,training,0.008724019117,0.001924901016,0.00760585163
uniform,1,4,disorder,1536,768,training,0.02445551907,0.003642500068,0.007290766696
uniform,1,4,disorder,2048,1024,training,-0.0178958959,0.00486115599,0.006078243751
uniform,1,4,disorder,2560,1280,training,0.03404761905,0.00580641896,0.004572410024
uniform,1,4,disorder,3072,1536,training,0.0118729097,0.006578755043,0.00297541847
uniform,1,4,disorder,4096,2048,training,-0.01932885906,0.007797410965,-0.0002150377285
uniform,1,4,disorder,5120,2560,heldout,0.08227848101,0.008742673935,-0.003255075678
uniform,1,4,disorder,6144,3072,heldout,0.1282051282,0.009515010017,-0.006105603356
