distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
pareto,"{""alpha"":2.0}",quenched,4096,6.443,1.8629942701565052,2.118393729206336,0.8794372096515235
pareto,"{""alpha"":3.0}",annealed,16,1.9833790358071615,0.6848019738880518,1.0197814405382262,0.671518373119855
pareto,"{""alpha"":3.0}",quenched,16,1.9619333333333333,0.6739303816328128,1.0197814405382262,0.6608576650278337
pareto,"{""alpha"":3.0}",annealed,32,2.6113234117058526,0.9598571471194426,1.242924991852436,0.7722566956264082
pareto,"{""alpha"":3.0}",quenched,32,2.5642777777777774,0.9416768708571622,1.242924991852436,0.7576296856447481
pareto,"{""alpha"":3.0}",annealed,64,3.064907453726866,1.120017374389689,1.4252465486463906,0.7858411412772135
pareto,"{""alpha"":3.0}",quenched,64,3.043,1.112843870914834,1.4252465486463906,0.7808079745723595
pareto,"{""alpha"":3.0}",annealed,128,3.710713106553279,1.3112240701579523,1.5793972284736488,0.8302053761517216
pareto,"{""alpha"":3.0}",quenched,128,3.7249444444444446,1.3150519374772023,1.5793972284736488,0.8326290016021407
pareto,"{""alpha"":3.0}",annealed,256,4.0511733366683345,1.399006551917424,1.7129286210981716,0.8167337124768866
pareto,"{""alpha"":3.0}",quenched,256,3.9677222222222226,1.3781921824919117,1.7129286210981716,0.8045823775239054
pareto,"{""alpha"":3.0}",annealed,512,4.765706853426713,1.5614458689012527,1.830711656754555,0.8529174231999753
pareto,"{""alpha"":3.0}",quenched,512,4.670333333333334,1.5412304467209847,1.830711656754555,0.8418750386138055
pareto,"{""alpha"":3.0}",annealed,1024,5.459320660330168,1.697324360830905,1.9360721724123813,0.8766844464873476
pareto,"{""alpha"":3.0}",quenched,1024,5.253000000000003,1.658799341971825,1.9360721724123813,0.8567859016871932
pareto,"{""alpha"":3.0}",annealed,2048,6.526569138276551,1.875881405259769,2.0313823522167063,0.9234506754539588
pareto,"{""alpha"":3.0}",quenched,2048,6.1979999999999995,1.8242266593655565,2.0313823522167063,0.8980223035682597
pareto,"{""alpha"":3.0}",annealed,4096,6.447851703406812,1.8637470060885486,2.118393729206336,0.8797925429975703
pareto,"{""alpha"":3.0}",quenched,4096,6.204,1.8251942453142924,2.118393729206336,0.8615934895153359
triangular,"{""a"":0.8}",annealed,16,1.9116136827365477,0.6479477454366491,1.0197814405382262,0.6353790328785269
triangular,"{""a"":0.8}",quenched,16,1.8757333333333337,0.6289996940694714,1.0197814405382262,0.6167985306121029
triangular,"{""a"":0.8}",annealed,32,2.610805152576289,0.9596586613392151,1.242924991852436,0.7720970031417219
triangular,"{""a"":0.8}",quenched,32,2.581611111111111,0.9484136657094422,1.242924991852436,0.7630497994057881
triangular,"{""a"":0.8}",annealed,64,3.2155555277638816,1.1680001352242344,1.4252465486463906,0.8195074293170732
triangular,"{""a"":0.8}",quenched,64,3.1365,1.1431075285546608,1.4252465486463906,0.8020419552254396
triangular,"{""a"":0.8}",annealed,128,3.8956518259129616,1.359861014721353,1.5793972284736488,0.8610000006366615
triangular,"{""a"":0.8}",quenched,128,3.835444444444444,1.3442853197456173,1.5793972284736488,0.851138203556779
