distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
lognormal,"{""sigma"":0.5}",1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,0.0545,5.665362431215609,0.1788900575217283,NaN,NaN,5.665362431215608,-0.01384521484375,0.00740234375,1.2929613755e6,7489.5465,0.1884769120000419
lognormal,"{""sigma"":0.5}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,0.124,5.495615230460922,0.34800491849955845,NaN,NaN,5.495615230460922,-0.039453125,0.0175712890625,5.134157806e6,17837.754,0.8942968920002459
lognormal,"{""sigma"":0.5}",4096,8.317766166719343,2.118393729206336,500,500,1,1,0.076,6.447118236472948,0.39073760267174706,NaN,NaN,6.447118236472948,-0.044419921875,-0.0313662109375,2.1062053676e7,42901.548,3.0415954699994763
lognormal,"{""sigma"":1.0}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,-0.03,1.8682736547309469,0.04118822724089076,NaN,NaN,1.8682736547309466,-0.008825,-0.007525,350.1792,40.9936,9.592579986201599e-5
lognormal,"{""sigma"":1.0}",32,3.4657359027997265,1.242924991852436,5000,5000,1,1,0.0022,2.5379027405481107,0.05373062294174182,NaN,NaN,2.537902740548111,7.5e-5,0.00049375,1406.1662,98.3518,0.00020458400027127937
lognormal,"{""sigma"":1.0}",64,4.1588830833596715,1.4252465486463906,5000,5000,1,1,-0.0066,3.2095983596719346,0.06870770089749871,NaN,NaN,3.2095983596719346,-0.005946875,0.01056875,5775.6662,236.575,0.0010056407999014482
lognormal,"{""sigma"":1.0}",128,4.852030263919617,1.5793972284736488,5000,5000,1,1,0.0178,3.7058243248649734,0.07703708730143503,NaN,NaN,3.7058243248649734,-0.001575,0.01353125,23610.3052,563.536,0.004350642800156492
lognormal,"{""sigma"":1.0}",256,5.545177444479562,1.7129286210981716,5000,5000,1,1,-0.0438,4.1551125825165025,0.08501928914608164,NaN,NaN,4.1551125825165025,0.00660234375,0.00506484375,95328.2428,1341.0164,0.012773558599851095
lognormal,"{""sigma"":1.0}",512,6.238324625039508,1.830711656754555,5000,5000,1,1,-0.0028,4.73293874774955,0.09506455292981301,NaN,NaN,4.732938747749549,0.009647265625,-0.009341015625,381268.7556,3156.6932,0.03900392279982334
lognormal,"{""sigma"":1.0}",1024,6.931471805599453,1.9360721724123813,5000,5000,1,1,-0.0044,5.409862612522504,0.11027772110119,NaN,NaN,5.409862612522506,-0.014685546875,-0.006176953125,1.5241590116e6,7524.476,0.5734662847995292
lognormal,"{""sigma"":1.0}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,-0.006,5.773511022044092,0.3690832269655658,NaN,NaN,5.773511022044092,-0.024154296875,-0.05311328125,5.854146564e6,17664.144,2.7168854959985476
lognormal,"{""sigma"":1.0}",4096,8.317766166719343,2.118393729206336,500,500,1,1,0.12,6.562725450901803,0.4412889630277273,NaN,NaN,6.562725450901804,-0.0248544921875,-0.00820849609375,2.5965861702e7,43373.358,4.208476653999766
pareto,"{""alpha"":2.0}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0024,2.0063955191038203,0.04443704574427355,NaN,NaN,2.00639551910382,-0.0052625,-0.00645,315.0442,40.9978,0.0003753138002124615
pareto,"{""alpha"":2.0}",32,3.4657359027997265,1.242924991852436,5000,5000,1,1,-0.0062,2.5554726545309068,0.054420767339614366,NaN,NaN,2.5554726545309068,0.00440625,-0.01779375,1266.8932,98.5236,0.00021616759980097413
pareto,"{""alpha"":2.0}",64,4.1588830833596715,1.4252465486463906,5000,5000,1,1,0.0194,3.16685701140228,0.06456535343528087,NaN,NaN,3.16685701140228,0.00855,0.0099625,4939.9412,233.6436,0.0007244347998872399
pareto,"{""alpha"":2.0}",128,4.852030263919617,1.5793972284736488,5000,5000,1,1,0.0166,3.6446533706741353,0.07591462356187852,NaN,NaN,3.6446533706741344,0.0014890625,-0.0114125,20570.0466,557.8058,0.002716036799480207
pareto,"{""alpha"":2.0}",256,5.545177444479562,1.7129286210981716,5000,5000,1,1,0.038,4.199395879175837,0.08426389870290557,NaN,NaN,4.199395879175837,-0.00321484375,-0.00937578125,80366.1964,1320.268,0.011013322600128595
pareto,"{""alpha"":2.0}",512,6.238324625039508,1.830711656754555,5000,5000,1,1,0.0506,4.706180876175236,0.09804111411363955,NaN,NaN,4.706180876175236,0.00573671875,-0.013430078125,319419.941,3156.3566,0.045935046199639326
pareto,"{""alpha"":2.0}",1024,6.931471805599453,1.9360721724123813,5000,5000,1,1,-0.0102,5.253146589317863,0.10827127776224622,NaN,NaN,5.253146589317862,0.0218578125,-0.0090201171875,1.2950756966e6,7451.4646,0.22191135399972553
pareto,"{""alpha"":2.0}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,-0.212,6.139334669338675,0.3705743946698832,NaN,NaN,6.139334669338673,-0.0411455078125,0.0043505859375,4.986497236e6,18001.516,0.7818160020002397
pareto,"{""alpha"":2.0}",4096,8.317766166719343,2.118393729206336,500,500,1,1,-0.17,6.9109218436873725,0.43137192471618613,NaN,NaN,6.910921843687373,-0.0374609375,0.04487158203125,2.139319091e7,42198.998,3.4956990739996545
pareto,"{""alpha"":3.0}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,-0.0198,1.9369953590718134,0.04110885983632756,NaN,NaN,1.9369953590718134,-0.0049125,-0.0042625,304.2312,40.696,5.544160034041852e-5
pareto,"{""alpha"":3.0}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,-0.067,2.536779389694848,0.08488921590193016,NaN,NaN,2.536779389694848,-0.01171875,-0.002,1241.295,98.61,0.0002146874999452848
pareto,"{""alpha"":3.0}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,0.0605,3.0573684342171075,0.10415403105209523,NaN,NaN,3.057368434217108,-0.000359375,-0.020921875,4851.587,231.387,0.000775723499362357
pareto,"{""alpha"":3.0}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,0.012,3.493602801400694,0.1162035736415034,NaN,NaN,3.493602801400694,0.01492578125,0.01576953125,19408.548,557.751,0.0037844309995416553
pareto,"{""alpha"":3.0}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,-0.053,4.128255127563784,0.13349841232587834,NaN,NaN,4.128255127563785,-0.034267578125,-0.02366015625,80346.1105,1328.7085,0.016901304499799152
