L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
64,gamma,1.0,76,7370536334525773923,927,149,1,21,64,373
64,gamma,1.0,77,4051997488585841921,956,186,2,32,64,394
64,gamma,1.0,78,1395899039980884037,1556,206,0,64,58,575
64,gamma,1.0,79,2910742813620360780,705,139,0,64,39,337
64,gamma,1.0,80,8914378594978494456,721,175,-1,64,13,339
64,gamma,1.0,81,683070800666890746,1526,214,-1,60,64,609
64,gamma,1.0,82,2039653239979453043,1074,176,-1,64,24,421
64,gamma,1.0,83,4892371759016698734,833,209,2,53,64,362
64,gamma,1.0,84,2315381133307389958,814,202,0,56,64,388
64,gamma,1.0,85,2722065950040651088,829,211,1,43,64,408
64,gamma,1.0,86,5459996673273702692,1430,232,-1,64,50,561
64,gamma,1.0,87,5722132609033777807,877,169,-1,23,64,373
64,gamma,1.0,88,3515055200288667725,910,140,0,28,64,344
64,gamma,1.0,89,5937211668046444697,674,136,0,64,40,287
64,gamma,1.0,90,5121136366307690245,547,153,-1,64,11,232
64,gamma,1.0,91,352439402073667520,1017,177,3,35,64,406
64,gamma,1.0,92,3503463133638537786,663,117,0,7,64,246
64,gamma,1.0,93,2903436555524919333,1004,200,-1,30,64,447
64,gamma,1.0,94,2481853630969349168,1106,222,0,44,64,475
64,gamma,1.0,95,1087502982803149846,1448,178,1,64,44,503
64,gamma,1.0,96,5533570192322506165,803,169,3,55,64,334
64,gamma,1.0,97,4661796542397171474,778,180,-1,64,44,323
64,gamma,1.0,98,2671683087556828425,619,173,-1,64,15,286
64,gamma,1.0,99,248073411211240184,872,200,0,34,64,368
